focus,lemma,phrase,meaning_en,contexts_it,register,risk,tags,scenario_prompt,trap,cultural_note,native_sauce,phrase_hint,examples_it,src,tatoeba_it_id
phrase,,"Questo è il mio primo volo. Sono nervoso, dice Hiroshi.","This is my first flight. I'm nervous, says Hiroshi.","Questo è il mio primo volo. Sono nervoso, dice Hiroshi.",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,634389
phrase,,Tom si è nascosto sotto il tavolo.,Tom hid under the table.,Tom si è nascosto sotto il tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,634475
phrase,,Tom si nascose sotto il tavolo.,Tom hid under the table.,Tom si nascose sotto il tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,634478
phrase,,Prevedono che domani sarà nuvoloso.,They forecast it will be cloudy tomorrow.,Prevedono che domani sarà nuvoloso.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,634512
phrase,,Il tempo sembrava favorevole al volo di prova.,The weather seemed favorable for the test flight.,Il tempo sembrava favorevole al volo di prova.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,635247
phrase,,Questo tavolo è pulito.,This table is clean.,Questo tavolo è pulito.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,635346
phrase,,È nuvolo?,Is it cloudy?,È nuvolo?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,635668
phrase,,L'aeroporto è laggiù.,The airport is over there.,L'aeroporto è laggiù.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,638552
phrase,,Sai l'orario di arrivo del suo aereo?,Do you know the time of arrival of his plane?,Sai l'orario di arrivo del suo aereo?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,645000
phrase,,Conosci l'orario di arrivo del suo aereo?,Do you know the time of arrival of his plane?,Conosci l'orario di arrivo del suo aereo?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,645001
phrase,,Conoscete l'orario di arrivo del suo aereo?,Do you know the time of arrival of his plane?,Conoscete l'orario di arrivo del suo aereo?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,645003
phrase,,Sapete l'orario di arrivo del suo aereo?,Do you know the time of arrival of his plane?,Sapete l'orario di arrivo del suo aereo?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,645004
phrase,,"Hai visto il mio cellulare? ""È sul tavolo.""","Have you seen my cell phone? ""It's on the table.""","Hai visto il mio cellulare? ""È sul tavolo.""",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,645563
phrase,,"Avete visto il mio cellulare? ""È sul tavolo.""","Have you seen my cell phone? ""It's on the table.""","Avete visto il mio cellulare? ""È sul tavolo.""",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,645565
phrase,,Posso vedere il tuo passaporto?,May I see your passport?,Posso vedere il tuo passaporto?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,645850
phrase,,Posso vedere il suo passaporto?,May I see your passport?,Posso vedere il suo passaporto?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,645851
phrase,,Già da qualche giorno attendo l’arrivo di quella lettera.,"For a few days now, I've been waiting for that letter to come.",Già da qualche giorno attendo l’arrivo di quella lettera.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,645931
phrase,,"Se non vi sbrigate, perderete il treno.","If you don't hurry, you'll miss the train.","Se non vi sbrigate, perderete il treno.",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,653817
phrase,,"Visto il mio cellulare? ""Sul tavolo!""","Seen my cell phone? ""On the table!""","Visto il mio cellulare? ""Sul tavolo!""",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,653916
phrase,,Il tavolo era ricoperto di carta.,The table was covered with paper.,Il tavolo era ricoperto di carta.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,654356
phrase,,Ha promesso di non essere di nuovo in ritardo.,He promised not to be late again.,Ha promesso di non essere di nuovo in ritardo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,654537
phrase,,Sul tavolo ci sono alcuni libri.,On the table there are some books.,Sul tavolo ci sono alcuni libri.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,655161
phrase,,"Se vi sbrigate, ce la potete fare.","If you hurry, you can make it.","Se vi sbrigate, ce la potete fare.",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,662853
phrase,,Mi sono nascosto sotto il tavolo.,I hid under the table.,Mi sono nascosto sotto il tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,664376
phrase,,Mi nascosi sotto il tavolo.,I hid under the table.,Mi nascosi sotto il tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,664377
phrase,,Si parla del Diavolo e spuntano le corna.,Talk of the wolf and behold his skin.,Si parla del Diavolo e spuntano le corna.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,666780
phrase,,"Il passaporto del presidente degli Stati Uniti è nero, non blu come quello di un cittadino comune.","The U.S. president's passport is black, not blue like an average citizen's.","Il passaporto del presidente degli Stati Uniti è nero, non blu come quello di un cittadino comune.",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,670815
phrase,,Per avere successo nella vita si ha bisogno di due cose: ignoranza e sicurezza.,"To succeed in life, you need two things: ignorance and confidence.",Per avere successo nella vita si ha bisogno di due cose: ignoranza e sicurezza.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,670844
phrase,,Questo tavolo ha una superficie liscia.,This table has a smooth surface.,Questo tavolo ha una superficie liscia.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,670944
phrase,,I cinque documenti testimoniano la nuova situazione della Francia nata dalla Rivoluzione.,The five documents treat of the French post-revolutionary situation.,I cinque documenti testimoniano la nuova situazione della Francia nata dalla Rivoluzione.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,671981
phrase,,"Spiacente, questo volo è al completo.","I'm sorry, this flight is full.","Spiacente, questo volo è al completo.",neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,695723
phrase,,Potremmo essere in ritardo per la scuola.,We may be late for school.,Potremmo essere in ritardo per la scuola.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,697885
phrase,,Il tuo orologio è sul tavolo.,Your watch is on the desk.,Il tuo orologio è sul tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,700874
phrase,,Il treno è in ritardo di 30 minuti.,The train is 30 minutes late.,Il treno è in ritardo di 30 minuti.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,702455
phrase,,Il treno ha 30 minuti di ritardo.,The train is 30 minutes late.,Il treno ha 30 minuti di ritardo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,702457
phrase,,Non dimenticate il biglietto.,Don't forget the ticket.,Non dimenticate il biglietto.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,702835
phrase,,Quanto dista l'aeroporto?,How far is it to the airport?,Quanto dista l'aeroporto?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,702836
phrase,,È saltato sul tavolo.,He jumped onto the table.,È saltato sul tavolo.,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,713914
phrase,,Come spieghi il tuo ritardo?,How do you account for your being late?,Come spieghi il tuo ritardo?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,713960
phrase,,Come spiegate il vostro ritardo?,How do you account for your being late?,Come spiegate il vostro ritardo?,neutral,safe,"airport,mission",You are at the airport. Use this naturally.,,,,,,tatoeba,713961
