focus,lemma,phrase,meaning_en,contexts_it,register,risk,tags,scenario_prompt,trap,cultural_note,native_sauce,phrase_hint,examples_it
phrase,,Da portar via, grazie,To take away, thanks,"Da portar via, grazie.",polite,safe,"bar,takeaway","They ask 'Qui o da portar via?'. Say take away.","","", "Also said as: 'da asporto'.",,"Da portar via, grazie.|Da asporto, grazie.|Lo porto via, grazie."
word,zucchero,,sugar,"Un caffè con zucchero, per favore.|Senza zucchero, grazie.",neutral,safe,"bar,preferences","Order coffee and specify sugar preference.","","","Often you’ll just say 'con' or 'senza'.","Con zucchero / senza zucchero","Un caffè con zucchero.|Senza zucchero, grazie.|Con poco zucchero."
phrase,,Senza zucchero, grazie,Without sugar, thanks,"Senza zucchero, grazie.",polite,safe,"bar,preferences","Tell them you want no sugar.","","","",,"Senza zucchero, grazie.|Senza zucchero.|Un caffè senza zucchero."
word,subito,,right away,"Arrivo subito.|Subito!",neutral,safe,"bar,interaction","The barista says they’ll bring it soon. Reply politely.","","You’ll hear 'Subito!' a lot in service contexts.","It can mean 'right away' but also 'I’m on it'.","Subito","Subito!|Arrivo subito.|Sì, subito."
word,attimo,,a moment,"Un attimo, per favore.|Solo un attimo.",neutral,safe,"bar,interaction","You need a moment to decide. Say it politely.","","","Very common filler while someone is busy.","Un attimo","Un attimo, per favore.|Solo un attimo.|Un attimo e arrivo."
phrase,,Un attimo, per favore,One moment, please,"Un attimo, per favore.",polite,safe,"politeness,interaction","They ask what you want. You need a second—reply politely.","","","",,"Un attimo, per favore.|Solo un attimo, grazie.|Un attimo."
word,scontrino,,receipt,"Vuole lo scontrino?|Lo scontrino, per favore.",neutral,safe,"payment,receipt","You want the receipt. Ask politely.","","In Italy, receipts matter (especially in public places).","You might hear it at the cassa.","Lo scontrino","Lo scontrino, per favore.|Vuole lo scontrino?|Scontrino, grazie."
word,contanti,,cash,"Pago in contanti.|In contanti o con carta?",neutral,safe,"payment","They ask how you’ll pay. Say cash.","","","Often asked: 'contanti o carta?'.","In contanti","Pago in contanti.|In contanti, grazie.|Contanti, per favore."
word,carta,,card,"Pago con carta.|Va bene la carta?",neutral,safe,"payment","They ask how you’ll pay. Say card.","Some places have minimum spend for card; rare, but it happens.","","Say 'Pago con carta' — simple.","Con carta","Pago con carta.|Con carta, grazie.|Va bene la carta?"
phrase,,Pago con carta,I’ll pay by card,"Pago con carta.",neutral,safe,"payment","At the cassa, say you’ll pay by card.","","","",,"Pago con carta.|Pago con la carta.|Con carta."
word,prego,,you’re welcome / please / go ahead,"Prego!|Prego, si accomodi.",neutral,safe,"interaction,politeness","They say 'Grazie'. Reply naturally.","Don’t overthink—copy locals: use it when someone says 'grazie'.","'Prego' has multiple uses (you're welcome, please, go ahead).","It’s a Swiss-army word.","Prego","Prego!|Prego, si accomodi.|Prego, avanti."
phrase,,Grazie, buona giornata,Thanks, have a nice day,"Grazie, buona giornata!",polite,safe,"politeness,closing","You’re leaving. Say thanks and wish them a good day.","","","This tiny line makes you sound instantly nice.",,"Grazie, buona giornata.|Grazie, buona giornata a lei.|Grazie, buona giornata!"
phrase,,Scusi, one moment,Excuse me, one moment,"Scusi, un attimo.",polite,safe,"politeness,interaction","You need a moment to decide. Say it politely.","","","",,"Scusi, un attimo.|Scusi, un secondo.|Un attimo, per favore."
word,cassa,,cashier,"Alla cassa, per favore.|Dove si paga? Alla cassa?",neutral,safe,"bar,payment","Ask about the cashier.","","Many bars have you pay at the cashier (la cassa).","You’ll often hear 'alla cassa'.","Alla cassa","Alla cassa, per favore.|Pago alla cassa.|Dove è la cassa?"
word,asporto,,takeaway,"Da asporto, grazie.",neutral,safe,"bar,takeaway","Say you want take-away.","","", "Common synonym of 'da portar via'.","Da asporto","Da asporto, grazie.|Lo prendo da asporto.|Per asporto, grazie."
word,ordine,,order,"Posso fare un ordine?",neutral,safe,"bar,ordering","Ask to place an order.","","","",,"Fare un ordine","Posso fare un ordine?|Vorrei fare un ordine.|Ho un ordine."
phrase,,Mi porta un caffè?,Can you bring me a coffee?,"Mi porta un caffè?",polite,caution,"bar,ordering","Ask for table service politely.","At the counter, you usually order and pay first.","Table service can cost more (tavolo).","Use at a table, not at the counter.",,"Mi porta un caffè?|Mi porta un cappuccino?|Ci porta due caffè?"
